Welcome to DrJava.  Working directory is /Users/Hennessy/algs4/insertionSort
> run DoublingRatio
   250     0.0   1.0
   500     0.0   0.0
  1000     0.0   NaN
  2000     0.0   NaN
  4000     0.0 Infinity
  8000     0.0   6.5
 16000     0.0   2.8
 32000     0.1   3.9
 64000     0.6   4.2
128000     2.6   4.3
256000    10.6   4.1
