Welcome to DrJava.  Working directory is /Users/Hennessy/algs4/insertionSort
> run DoublingRatio
   250     0.0   0.0
   500     0.0   NaN
  1000     0.0   NaN
  2000     0.0   NaN
  4000     0.0 Infinity
  8000     0.0   5.5
 16000     0.0   3.5
 32000     0.1   3.9
 64000     0.6   4.3
128000     2.7   4.3
256000    10.6   4.0
