Welcome to DrJava.  Working directory is /Users/Hennessy/algs4/insertionSort
> run DoublingRatio
   250     0.0   1.0
   500     0.0   1.0
  1000     0.0   1.0
  2000     0.0   1.0
  4000     0.0   2.0
  8000     0.0   5.5
 16000     0.0   3.5
 32000     0.2   4.1
 64000     0.6   4.2
128000     2.5   3.9
256000    10.8   4.3
 Resetting Interactions ...
