Welcome to DrJava.  Working directory is /Users/Hennessy/algs4/insertionSort
> run DoublingRatio
   250     0.0   1.0
   500     0.0   1.0
  1000     0.0   1.0
  2000     0.0   0.0
  4000     0.0 Infinity
  8000     0.0   5.0
 16000     0.0   3.9
 32000     0.2   3.8
 64000     0.6   4.3
128000     2.9   4.5
256000    11.8   4.1
512000    51.5   4.4
1024000   215.0   4.2
2048000   955.9   4.4
4096000  4107.7   4.3
8192000 17115.4   4.2
> 
